                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.67275,                0.38707,                0.94788,                0.96882,                0.92384,                0.97594,                 0.7799,                0.73621,                0.39128,                 0.9956,              0.0087526,              0.0087526,              0.0087526
                    128,                0.66677,                0.38465,                0.94606,                0.96002,                0.91247,                0.97168,                0.77586,                0.72567,                 0.3903,                0.99396,              0.0087427,              0.0087427,              0.0087427
                    129,                0.67161,                0.38326,                 0.9461,                0.96754,                  0.918,                0.97636,                0.77155,                0.70665,                   0.38,                0.98604,              0.0087328,              0.0087328,              0.0087328
                    130,                0.67366,                0.38313,                0.94553,                0.96769,                0.91023,                0.97479,                0.77538,                0.70639,                0.38291,                 0.9843,              0.0087229,              0.0087229,              0.0087229
                    131,                 0.6734,                0.38407,                0.94618,                0.96266,                0.92133,                0.98265,                0.77938,                0.71207,                0.38632,                0.98172,               0.008713,               0.008713,               0.008713
                    132,                0.65864,                0.37899,                0.94284,                0.96073,                0.91899,                  0.974,                0.77388,                0.70926,                 0.3808,                0.98674,              0.0087031,              0.0087031,              0.0087031
                    133,                0.66571,                 0.3787,                0.94011,                 0.9563,                 0.9163,                0.97574,                0.77176,                0.70102,                 0.3856,                 0.9842,              0.0086932,              0.0086932,              0.0086932
                    134,                0.66289,                0.38104,                0.94247,                0.94792,                0.92809,                0.96927,                0.77504,                0.69427,                0.37743,                0.97447,              0.0086833,              0.0086833,              0.0086833
                    135,                0.66295,                0.37521,                0.94018,                0.95707,                0.92334,                0.98352,                0.78114,                0.69918,                 0.3839,                0.98192,              0.0086734,              0.0086734,              0.0086734
                    136,                 0.6568,                0.37598,                0.94024,                0.96114,                0.91859,                0.97841,                0.77999,                0.70016,                0.37808,                0.97753,              0.0086635,              0.0086635,              0.0086635
                    137,                0.65182,                0.37241,                 0.9355,                0.94422,                0.93067,                0.97075,                0.78187,                0.71924,                0.38742,                0.98643,              0.0086536,              0.0086536,              0.0086536
                    138,                0.65757,                0.37269,                0.93552,                 0.9524,                0.91998,                0.97721,                0.78972,                0.70613,                0.38655,                 0.9765,              0.0086437,              0.0086437,              0.0086437
                    139,                0.65291,                0.37611,                0.93329,                0.95051,                0.91128,                  0.979,                0.78341,                0.71241,                0.38181,                 0.9827,              0.0086338,              0.0086338,              0.0086338
                    140,                0.66118,                0.37852,                0.94052,                0.95637,                0.91321,                0.97697,                0.78253,                0.71215,                0.37349,                 0.9782,              0.0086239,              0.0086239,              0.0086239
                    141,                0.65373,                 0.3731,                0.93534,                0.95877,                 0.9379,                0.98271,                 0.7841,                0.71399,                 0.3717,                0.97753,               0.008614,               0.008614,               0.008614
                    142,                 0.6488,                 0.3685,                0.94019,                0.96251,                0.93425,                0.98338,                0.78314,                 0.7124,                0.37103,                0.97968,              0.0086041,              0.0086041,              0.0086041
                    143,                0.65002,                0.37023,                0.93682,                0.95338,                0.92635,                0.98113,                0.78236,                0.70973,                0.36966,                0.97905,              0.0085942,              0.0085942,              0.0085942
                    144,                0.64665,                0.36528,                0.93302,                0.95115,                0.93389,                0.97982,                0.78304,                0.71216,                0.37508,                0.98345,              0.0085843,              0.0085843,              0.0085843
                    145,                0.64709,                0.36892,                 0.9327,                 0.9563,                0.91348,                0.97974,                0.78616,                  0.704,                0.37179,                0.97899,              0.0085744,              0.0085744,              0.0085744
                    146,                0.64768,                0.36825,                0.93378,                 0.9469,                0.93064,                0.97964,                0.77783,                0.70397,                0.36986,                0.97924,              0.0085645,              0.0085645,              0.0085645
                    147,                0.64992,                0.37301,                0.93451,                0.95453,                0.93366,                0.97828,                0.77618,                0.70162,                 0.3717,                0.97745,              0.0085546,              0.0085546,              0.0085546
                    148,                0.64236,                0.37031,                0.93472,                0.95503,                0.92465,                0.98133,                0.78378,                0.69744,                0.36584,                0.97561,              0.0085447,              0.0085447,              0.0085447
                    149,                0.64861,                0.37126,                0.93062,                 0.9614,                0.93138,                0.98345,                0.78016,                 0.6995,                0.36719,                0.97993,              0.0085348,              0.0085348,              0.0085348
                    150,                0.64457,                0.36784,                0.93542,                0.96548,                0.93188,                0.98709,                0.78038,                0.71045,                0.36739,                0.98299,              0.0085249,              0.0085249,              0.0085249
                    151,                0.64487,                 0.3702,                0.93133,                0.95684,                0.94005,                0.98693,                0.77825,                0.71168,                0.36739,                0.98378,               0.008515,               0.008515,               0.008515
                    152,                0.63958,                0.36638,                0.93185,                0.95131,                 0.9364,                0.98538,                0.77666,                0.72266,                 0.3714,                0.98902,              0.0085051,              0.0085051,              0.0085051
