                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.55878,                0.32037,                0.89999,                0.96208,                0.95366,                0.98374,                0.80951,                0.66148,                0.34402,                 0.9525,              0.0086338,              0.0086338,              0.0086338
                    140,                0.56638,                 0.3254,                0.90666,                0.93184,                0.97208,                0.98014,                  0.811,                0.65243,                0.34431,                 0.9505,              0.0086239,              0.0086239,              0.0086239
                    141,                0.55721,                0.31779,                 0.9022,                0.95349,                0.93943,                0.97422,                0.81824,                0.63954,                0.34608,                0.94633,               0.008614,               0.008614,               0.008614
                    142,                0.55963,                0.31762,                 0.9059,                0.94167,                0.94872,                0.97766,                0.81562,                0.64544,                0.34252,                 0.9481,              0.0086041,              0.0086041,              0.0086041
                    143,                0.55609,                0.31828,                0.90123,                0.93557,                0.97336,                0.97912,                0.80781,                0.65374,                0.33996,                0.95058,              0.0085942,              0.0085942,              0.0085942
                    144,                0.55339,                0.31353,                0.89914,                0.96184,                 0.9433,                 0.9787,                0.81362,                0.65002,                 0.3364,                0.94961,              0.0085843,              0.0085843,              0.0085843
                    145,                0.55363,                0.31849,                0.89857,                0.95436,                0.94415,                0.97392,                0.80468,                0.64555,                0.34128,                0.94806,              0.0085744,              0.0085744,              0.0085744
                    146,                0.55722,                0.31914,                0.90274,                0.92928,                0.96758,                0.97363,                0.80371,                0.64853,                0.34113,                0.94808,              0.0085645,              0.0085645,              0.0085645
                    147,                0.55598,                 0.3207,                0.90295,                0.93269,                 0.9652,                0.97551,                0.80628,                0.65305,                0.34091,                0.94965,              0.0085546,              0.0085546,              0.0085546
                    148,                0.55078,                0.31674,                0.90178,                0.94758,                0.95476,                0.97666,                0.81125,                0.64758,                0.33709,                 0.9519,              0.0085447,              0.0085447,              0.0085447
                    149,                0.55986,                0.31927,                0.90319,                 0.9473,                0.95436,                0.97627,                0.80481,                0.64738,                0.33246,                0.95627,              0.0085348,              0.0085348,              0.0085348
                    150,                0.54798,                0.31521,                0.90083,                0.96357,                0.95141,                0.97913,                0.80921,                0.64795,                0.33534,                0.95603,              0.0085249,              0.0085249,              0.0085249
